cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,subasta,fecha_presentacion,fecha_publicacion,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
12-0578-00-316249-0-E,Empresa Publica Nacional Estrategica Boliviana De Aviacion - Bo A,Servicios Generales,CD,"Pago Por Espacios Para Antenas En Cerros De Juno, Kuturipa Y Aterrizajs Y Servicios En Rutas Nacionales E Internaciones, Correspondientes Al Mes De Abril 2012 ",Contratado,False,,2012-04-01,Pascual Quispe Huanca (Telf: 4140873),2012-04-01,Cochabamba,NB-SABS (D.S.0181)
12-0578-00-317067-0-E,Empresa Publica Nacional Estrategica Boliviana De Aviacion - Bo A,Servicios Generales,CD,Royaltie Por Auto Prestación De Servicios De Asistencia En Tierra En La Ciudad De Cochabamba Correspondiente A Vuelos Nacionales Periodo 01 - 30 De Abril 2012,Contratado,False,,2012-04-01,Pascual Quispe Huanca (Telf: 4140873),2012-04-01,Cochabamba,NB-SABS (D.S.0181)
12-0821-00-302452-1-1,Administracion Autonoma Para Obras Sanitarias - Aapos Potosi,Bienes,ANPE,Adquisición De Ropa Y Calzados De Trabajo,Desierto,False,2012-04-05,2012-04-01,Yocelin Valdez Morales (Telf: 6226773),2012-04-05,Potosi,NB-SABS (D.S.0181)
12-0904-00-347905-0-E,Gobierno Autónomo Departamental De Oruro,Servicios Generales,CD,Contratacion De Medios De Comunicacion,Contratado,False,,2012-04-01,Rosemary Cahuana Mollo (Telf: 5250200),2012-04-01,Oruro,NB-SABS (D.S.0181)
12-0906-33-298680-2-1,Gobernacion Del Departamento De Tarija Seccion Yunchara ,Consultoria,ANPP,Construccion Estadio Celedonio Farfan - Modulo: Supervision,Contratado,False,2012-04-12,2012-04-01,Cristhian Joel  Alcoba Romero  (Telf: 046138004/046138005),2012-04-19,Tarija,NB-SABS (D.S.0181)
12-1219-00-302442-1-1,Gobierno Autonomo Municipal De Quime,Obras,ANPP,Enlosetado Y Mejoramiento Av. Bolivar (Tramo I) Primera Convocatoria,Contratado,False,2012-04-13,2012-04-01,Juan Carlos  Crespo Garfias  (Telf: 22136645),2012-04-13,La Paz,NB-SABS (D.S.0181)
12-1219-00-302443-1-1,Gobierno Autonomo Municipal De Quime,Obras,ANPP,Enlosetado Y Mejoramiento Av. Bolivar (Tramo Ii) Primera Convocatoria,Contratado,False,2012-04-13,2012-04-01,Juan Carlos  Crespo Garfias  (Telf: 22136645),2012-04-13,La Paz,NB-SABS (D.S.0181)
12-1508-00-302450-1-1,Gobierno Autonomo Municipal De Betanzos,Bienes,ANPE,Compra De Material De Escritorio Para Unidades Educativas Del Gobierno Autonomo Municipal De Betanzos,Contratado,False,2012-04-09,2012-04-01,Ronald Castro Sanchez (Telf: 6279032),2012-04-20,Potosi,NB-SABS (D.S.0181)
12-0006-00-297726-1-2,Vicepresidencia Del Estado Plurinacional,Consultoria,ANPE,Consultoría Por Producto: Profesional Informático,Contratado,False,2012-04-10,2012-04-02,Oscar Guillermo Bollati Zavala (Telf: 22142802),2012-04-11,La Paz,NB-SABS (D.S.0181)
12-0015-22-306972-0-E,Unidad Ejecutora De Lucha Integral Contra El Narcotráfico,Servicios Generales,CD,Suminstro De Gas Licuado Para El Comando De Umopar Y Yungas,Contratado,False,,2012-04-02,Freddy Oscar Cutili Chuquimia (Telf: 2113837 - 2115294),2012-04-02,La Paz,NB-SABS (D.S.0181)
