,mes,convocatorias
0,2011-12-01,5825
1,2012-01-01,2622
2,2012-02-01,3883
3,2012-03-01,5558
4,2012-04-01,5425
5,2012-05-01,6709
6,2012-06-01,5910
7,2012-07-01,6867
8,2012-08-01,7457
9,2012-09-01,7561
10,2012-10-01,9944
11,2012-11-01,8425
12,2012-12-01,6509
13,2013-01-01,3470
14,2013-02-01,5116
15,2013-03-01,6275
16,2013-04-01,7336
17,2013-05-01,5673
18,2013-06-01,5830
19,2013-07-01,7434
20,2013-08-01,6999
21,2013-09-01,6403
22,2013-10-01,8837
23,2013-11-01,9990
24,2013-12-01,7867
25,2014-01-01,4614
26,2014-02-01,6743
27,2014-03-01,6945
28,2014-04-01,8298
29,2014-05-01,8525
30,2014-06-01,7844
31,2014-07-01,8142
32,2014-08-01,7642
33,2014-09-01,8857
34,2014-10-01,9629
35,2014-11-01,8734
36,2014-12-01,8014
37,2015-01-01,4268
38,2015-02-01,5681
39,2015-03-01,6914
40,2015-04-01,7256
41,2015-05-01,4899
42,2015-06-01,3088
43,2015-07-01,3454
44,2015-08-01,5213
45,2015-09-01,7005
46,2015-10-01,8155
47,2015-11-01,8364
48,2015-12-01,10592
49,2016-01-01,4061
50,2016-02-01,5029
51,2016-03-01,5678
52,2016-04-01,6044
53,2016-05-01,6116
54,2016-06-01,6939
55,2016-07-01,7288
56,2016-08-01,8046
57,2016-09-01,6249
58,2016-10-01,7207
59,2016-11-01,8514
60,2016-12-01,10809
61,2017-01-01,5245
62,2017-02-01,5073
63,2017-03-01,6734
64,2017-04-01,5776
65,2017-05-01,7129
66,2017-06-01,6756
67,2017-07-01,7079
68,2017-08-01,7248
69,2017-09-01,7145
70,2017-10-01,8491
71,2017-11-01,9562
72,2017-12-01,10635
73,2018-01-01,6567
74,2018-02-01,5659
75,2018-03-01,7038
76,2018-04-01,7265
77,2018-05-01,7039
78,2018-06-01,7117
79,2018-07-01,7682
80,2018-08-01,7887
81,2018-09-01,7621
82,2018-10-01,9774
83,2018-11-01,10207
84,2018-12-01,10395
85,2019-01-01,6353
86,2019-02-01,7141
87,2019-03-01,7536
88,2019-04-01,8213
89,2019-05-01,8280
90,2019-06-01,7454
91,2019-07-01,9876
92,2019-08-01,8617
93,2019-09-01,9022
94,2019-10-01,9146
95,2019-11-01,8185
96,2019-12-01,10892
97,2020-01-01,6494
98,2020-02-01,6242
99,2020-03-01,5600
100,2020-04-01,1458
101,2020-05-01,2651
102,2020-06-01,4493
103,2020-07-01,5095
104,2020-08-01,5416
105,2020-09-01,8319
106,2020-10-01,10258
107,2020-11-01,11111
108,2020-12-01,11494
109,2021-01-01,4593
110,2021-02-01,6230
111,2021-03-01,9522
112,2021-04-01,8449
113,2021-05-01,4849
114,2021-06-01,5146
115,2021-07-01,5895
116,2021-08-01,5715
117,2021-09-01,6274
118,2021-10-01,6753
119,2021-11-01,8337
120,2021-12-01,8675
121,2022-01-01,3685
122,2022-02-01,4672
123,2022-03-01,7354
124,2022-04-01,6796
125,2022-05-01,6990
126,2022-06-01,7657
127,2022-07-01,6891
128,2022-08-01,1724
